Run on (40 X 3600 MHz CPU s)
2018-07-03 10:47:33
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2430,290010,297436,ns,,7.08667e+11,,,,1,1,0,0.333888,0,3,3,2,64,112,1.60563e+06,112,0,2,128,112,112,1,1,1.2756e+13,3.69938e+09,1.2756e+13,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2323,301332,308234,ns,,6.82041e+11,,,,1,1,0,0.309856,0,3,3,2,128,56,802816,56,0,2,256,56,56,1,1,1.22767e+13,3.69938e+09,1.22767e+13,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1861,376331,383057,ns,,5.46117e+11,,,,0,1,0,0.403744,0,3,3,2,256,28,401408,28,0,2,512,28,28,1,1,9.83011e+12,3.69938e+09,9.83011e+12,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",953,734355,741065,ns,,1.39933e+11,,,,1,1,0,0.740416,0,3,3,2,512,14,200704,14,0,2,512,14,14,1,1,2.51879e+12,1.84969e+09,2.51879e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",948,737834,744536,ns,,3.48183e+10,,,,0,1,0,0.742912,0,3,3,2,512,7,50176,7,0,2,512,7,7,1,1,6.26729e+11,4.62422e+08,6.26729e+11,4.62422e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",12528,55706.6,61812.7,ns,,1.72938e+11,,,,1,1,0,0.059616,0,7,7,1,3,224,150528,224,0,1,64,112,112,3,3,4.23699e+12,2.36028e+08,4.23699e+12,2.36028e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",927,754816,761486,ns,,6.38155e+09,,,,0,1,0,0.787232,0,5,5,1,192,28,150528,28,0,1,32,28,28,2,2,3.19078e+11,2.40845e+08,3.19078e+11,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",13765,50809.9,57331,ns,,1.89605e+11,,,,1,1,0,0.054816,0,1,1,1,192,28,150528,28,0,1,64,28,28,0,0,3.79209e+11,1.92676e+07,3.79209e+11,1.92676e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",354,1.97794e+06,1.98478e+06,ns,,2.43531e+09,,,,0,1,0,2.02378,0,5,5,1,512,14,100352,14,0,1,48,14,14,2,2,1.21766e+11,2.40845e+08,1.21766e+11,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6631,105496,112095,ns,,1.82639e+11,,,,1,1,0,0.111168,0,1,1,1,512,14,100352,14,0,1,192,14,14,0,0,3.65278e+11,3.85352e+07,3.65278e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4671,149803,156386,ns,,6.96687e+10,,,,1,1,0,0.15408,0,1,1,1,832,7,40768,7,0,1,256,7,7,0,0,1.39337e+11,2.08732e+07,1.39337e+11,2.08732e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",219,3.19352e+06,3.20027e+06,ns,,1.63403e+09,,,,0,1,0,3.20272,0,5,5,1,832,7,40768,7,0,1,128,7,7,2,2,8.17014e+10,2.60915e+08,8.17014e+10,2.60915e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",8424,83890.1,90469,ns,,2.29677e+11,,,,1,1,0,0.088704,0,7,7,2,3,224,301056,224,0,2,64,112,112,3,3,5.62708e+12,4.72056e+08,5.62708e+12,4.72056e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",931,752178,758824,ns,,1.28079e+10,,,,0,1,0,0.784416,0,5,5,2,192,28,301056,28,0,2,32,28,28,2,2,6.40393e+11,4.8169e+08,6.40393e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",14031,49907.6,56429.4,ns,,3.86065e+11,,,,1,1,0,0.054464,0,1,1,2,192,28,301056,28,0,2,64,28,28,0,0,7.7213e+11,3.85352e+07,7.7213e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",354,1.97798e+06,1.98479e+06,ns,,4.87052e+09,,,,0,1,0,1.98749,0,5,5,2,512,14,200704,14,0,2,48,14,14,2,2,2.43526e+11,4.8169e+08,2.43526e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6799,102944,109607,ns,,3.74331e+11,,,,1,1,0,0.10688,0,1,1,2,512,14,200704,14,0,2,192,14,14,0,0,7.48663e+11,7.70703e+07,7.48663e+11,7.70703e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4527,154590,161187,ns,,1.35023e+11,,,,0,1,0,0.160512,0,1,1,2,832,7,81536,7,0,2,256,7,7,0,0,2.70047e+11,4.17464e+07,2.70047e+11,4.17464e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",219,3.1969e+06,3.20362e+06,ns,,3.2646e+09,,,,0,1,0,3.20707,0,5,5,2,832,7,81536,7,0,2,128,7,7,2,2,1.6323e+11,5.2183e+08,1.6323e+11,5.2183e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6564,106624,113213,ns,,1.20471e+11,,,,1,1,0,0.112096,0,3,3,1,64,56,200704,56,0,1,64,56,56,1,1,2.16848e+12,2.31211e+08,2.16848e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",20779,33698.9,40218.7,ns,,1.52469e+12,,,,1,1,0,0.03744,0,1,1,1,64,56,200704,56,0,1,256,28,28,0,0,7.62343e+11,2.56901e+07,7.62343e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3489,200607,207217,ns,,6.4031e+10,,,,0,1,0,0.204096,0,3,3,1,128,28,100352,28,0,1,128,28,28,1,1,1.15256e+12,2.31211e+08,1.15256e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",15961,43869,50030.7,ns,,1.17122e+12,,,,1,1,0,0.047808,0,1,1,1,128,28,100352,28,0,1,512,14,14,0,0,5.85609e+11,2.56901e+07,5.85609e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",10867,64328.1,70422.1,ns,,1.9968e+11,,,,1,1,0,0.068416,0,1,1,1,256,14,50176,14,0,1,256,14,14,0,0,3.99361e+11,2.56901e+07,3.99361e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1839,380444,386648,ns,,3.37633e+10,,,,0,1,0,0.395712,0,3,3,1,256,14,50176,14,0,1,256,14,14,1,1,6.0774e+11,2.31211e+08,6.0774e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11744,59475.1,65591.7,ns,,8.63895e+11,,,,1,1,0,0.064,0,1,1,1,256,14,50176,14,0,1,1024,7,7,0,0,4.31947e+11,2.56901e+07,4.31947e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",7003,99842.7,105958,ns,,1.28653e+11,,,,1,1,0,0.105824,0,1,1,1,512,7,25088,7,0,1,512,7,7,0,0,2.57306e+11,2.56901e+07,2.57306e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",2036,343755,349975,ns,,1.49468e+11,,,,0,1,0,0.354912,0,1,1,1,2048,7,100352,7,0,1,512,7,7,3,3,2.98935e+11,1.0276e+08,2.98935e+11,1.0276e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6627,105588,112200,ns,,2.43305e+11,,,,1,1,0,0.109696,0,3,3,2,64,56,401408,56,0,2,64,56,56,1,1,4.3795e+12,4.62422e+08,4.3795e+12,4.62422e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",20922,33479.1,40008.7,ns,,3.06939e+12,,,,1,1,0,0.037568,0,1,1,2,64,56,401408,56,0,2,256,28,28,0,0,1.5347e+12,5.13802e+07,1.5347e+12,5.13802e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3507,199598,206180,ns,,1.2871e+11,,,,1,1,0,0.203904,0,3,3,2,128,28,200704,28,0,2,128,28,28,1,1,2.31677e+12,4.62422e+08,2.31677e+12,4.62422e+08,1,1,0,0
