Run on (160 X 4023 MHz CPU s)
2018-07-03 10:50:24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1231,568956,575466,ns,,3.61225e+11,,,,1,1,0,0.57808,0,3,3,2,256,28,401408,28,0,2,512,28,28,1,1,6.50205e+12,3.69938e+09,6.50205e+12,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",649,1.07781e+06,1.08437e+06,ns,,9.53423e+10,,,,0,1,0,1.08816,0,3,3,2,512,14,200704,14,0,2,512,14,14,1,1,1.71616e+12,1.84969e+09,1.71616e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",637,1.09907e+06,1.10565e+06,ns,,2.33743e+10,,,,0,1,0,1.10896,0,3,3,2,512,7,50176,7,0,2,512,7,7,1,1,4.20738e+11,4.62422e+08,4.20738e+11,4.62422e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",8836,79330.1,85654.8,ns,,1.21439e+11,,,,1,1,0,0.088576,0,7,7,1,3,224,150528,224,0,1,64,112,112,3,3,2.97526e+12,2.36028e+08,2.97526e+12,2.36028e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",685,1.022e+06,1.02855e+06,ns,,4.7132e+09,,,,0,1,0,1.02906,0,5,5,1,192,28,150528,28,0,1,32,28,28,2,2,2.3566e+11,2.40845e+08,2.3566e+11,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",9409,74411.5,80914.6,ns,,1.29466e+11,,,,1,1,0,0.083456,0,1,1,1,192,28,150528,28,0,1,64,28,28,0,0,2.58933e+11,1.92676e+07,2.58933e+11,1.92676e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",265,2.6436e+06,2.65032e+06,ns,,1.8221e+09,,,,0,1,0,2.65328,0,5,5,1,512,14,100352,14,0,1,48,14,14,2,2,9.11049e+10,2.40845e+08,9.11049e+10,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4628,151175,157643,ns,,1.27452e+11,,,,1,1,0,0.159968,0,1,1,1,512,14,100352,14,0,1,192,14,14,0,0,2.54904e+11,3.85352e+07,2.54904e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",3262,214562,221066,ns,,4.86414e+10,,,,0,1,0,0.222976,0,1,1,1,832,7,40768,7,0,1,256,7,7,0,0,9.72829e+10,2.08732e+07,9.72829e+10,2.08732e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",151,4.63091e+06,4.6377e+06,ns,,1.12684e+09,,,,0,1,0,4.64022,0,5,5,1,832,7,40768,7,0,1,128,7,7,2,2,5.63421e+10,2.60915e+08,5.63421e+10,2.60915e+08,1,1,0,0
