Run on (40 X 3600 MHz CPU s)
2018-07-24 13:54:03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",102645,6755.59,12822.6,ns,,7.13023e+11,,,,5,5,1,192,28,150528,28,32,1,32,28,25088,28,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",103357,6753.57,12850,ns,,1.42647e+12,,,,1,1,1,192,28,150528,28,64,1,64,28,50176,28,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",120317,5829.73,11961.3,ns,,8.26265e+11,,,,5,5,1,512,14,100352,14,48,1,48,14,9408,14,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",114997,6033.1,12046.2,ns,,3.19364e+12,,,,1,1,1,512,14,100352,14,192,1,192,14,37632,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",118060,5935.92,12003.3,ns,,1.75821e+12,,,,1,1,1,832,7,40768,7,256,1,256,7,12544,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",121781,5723.43,11807,ns,,9.11744e+11,,,,5,5,1,832,7,40768,7,128,1,128,7,6272,7,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",17270,40533.5,46693.3,ns,,4.7535e+11,,,,7,7,2,3,224,301056,224,64,2,64,112,1.60563e+06,112,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",86786,8067.77,14103.3,ns,,1.19411e+12,,,,5,5,2,192,28,301056,28,32,2,32,28,50176,28,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",86521,8103.29,14132.1,ns,,2.37775e+12,,,,1,1,2,192,28,301056,28,64,2,64,28,100352,28,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",111150,6290.75,12416.9,ns,,1.53142e+12,,,,5,5,2,512,14,200704,14,48,2,48,14,18816,14,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",108058,6478.35,12524.4,ns,,5.9483e+12,,,,1,1,2,512,14,200704,14,192,2,192,14,75264,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",112416,6203.66,12263.7,ns,,3.36466e+12,,,,1,1,2,832,7,81536,7,256,2,256,7,25088,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",116587,5970.53,11965,ns,,1.74802e+12,,,,5,5,2,832,7,81536,7,128,2,128,7,12544,7,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",70261,9961.92,16040.8,ns,,1.28942e+12,,,,3,3,1,64,56,200704,56,64,1,64,56,200704,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",100303,6974.08,13002.8,ns,,7.36732e+12,,,,1,1,1,64,56,200704,56,256,1,256,28,200704,28,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",102640,6812.12,12910.5,ns,,1.88562e+12,,,,3,3,1,128,28,100352,28,128,1,128,28,100352,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",105770,6617.67,12660.8,ns,,7.7641e+12,,,,1,1,1,128,28,100352,28,512,1,512,14,100352,14,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",114370,6145.66,12193.7,ns,,2.0901e+12,,,,1,1,1,256,14,50176,14,256,1,256,14,50176,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",114296,6101.99,12109.9,ns,,2.10506e+12,,,,3,3,1,256,14,50176,14,256,1,256,14,50176,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",95883,7269.08,13381.9,ns,,7.06833e+12,,,,1,1,1,256,14,50176,14,1024,1,1024,7,50176,7,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",109476,6382.34,12461.5,ns,,2.01259e+12,,,,1,1,1,512,7,25088,7,512,1,512,7,25088,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",109253,6381.66,12464.4,ns,,8.05123e+12,,,,1,1,1,2048,7,100352,7,512,1,512,7,25088,7,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",45901,15065.5,21349.6,ns,,1.70523e+12,,,,3,3,2,64,56,401408,56,64,2,64,56,401408,56,1,1,1,1
