Run on (40 X 3600 MHz CPU s)
2018-07-13 06:22:05
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7269,95781.4,102767,ns,,2.01162e+11,,,,1,1,0,0.099328,0,3,3,2,3,224,301056,224,0,64,2,64,224,6.42253e+06,224,1,1,3.62092e+12,3.46817e+08,3.62092e+12,3.46817e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2285,303502,310527,ns,,6.77165e+11,,,,1,1,0,0.282624,0,3,3,2,64,112,1.60563e+06,112,0,128,2,128,112,3.21126e+06,112,1,1,1.2189e+13,3.69938e+09,1.2189e+13,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2325,301132,307853,ns,,6.82495e+11,,,,1,1,0,0.319488,0,3,3,2,128,56,802816,56,0,256,2,256,56,1.60563e+06,56,1,1,1.22849e+13,3.69938e+09,1.22849e+13,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1861,376126,383065,ns,,5.46415e+11,,,,0,1,0,0.41472,0,3,3,2,256,28,401408,28,0,512,2,512,28,802816,28,1,1,9.83547e+12,3.69938e+09,9.83547e+12,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",955,743226,750269,ns,,1.38263e+11,,,,1,1,0,0.73728,0,3,3,2,512,14,200704,14,0,512,2,512,14,200704,14,1,1,2.48873e+12,1.84969e+09,2.48873e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",948,738024,745076,ns,,3.48093e+10,,,,0,1,0,0.741376,0,3,3,2,512,7,50176,7,0,512,2,512,7,50176,7,1,1,6.26567e+11,4.62422e+08,6.26567e+11,4.62422e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",12557,55663.3,61934.6,ns,,1.73072e+11,,,,1,1,0,0.058368,0,7,7,1,3,224,150528,224,0,64,1,64,112,802816,112,3,3,4.24028e+12,2.36028e+08,4.24028e+12,2.36028e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",927,754723,762458,ns,,6.38234e+09,,,,0,1,0,0.763904,0,5,5,1,192,28,150528,28,0,32,1,32,28,25088,28,2,2,3.19117e+11,2.40845e+08,3.19117e+11,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",13893,50359.8,56650,ns,,1.91299e+11,,,,1,1,0,0.053248,0,1,1,1,192,28,150528,28,0,64,1,64,28,50176,28,0,0,3.82599e+11,1.92676e+07,3.82599e+11,1.92676e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",354,1.97803e+06,1.9846e+06,ns,,2.4352e+09,,,,0,1,0,1.98758,0,5,5,1,512,14,100352,14,0,48,1,48,14,9408,14,2,2,1.2176e+11,2.40845e+08,1.2176e+11,2.40845e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6644,105266,111534,ns,,1.83038e+11,,,,1,1,0,0.118784,0,1,1,1,512,14,100352,14,0,192,1,192,14,37632,14,0,0,3.66076e+11,3.85352e+07,3.66076e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4681,149577,155848,ns,,6.97741e+10,,,,1,1,0,0.152576,0,1,1,1,832,7,40768,7,0,256,1,256,7,12544,7,0,0,1.39548e+11,2.08732e+07,1.39548e+11,2.08732e+07,1,1,0,0
