Run on (40 X 3600 MHz CPU s)
2018-07-24 19:16:43
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count","softmax_algorithm","softmax_mode"
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",12471,56091.8,7345.55,ns,,8.94533e+08,,,,1,256,14,50176,14,1,256,14,50176,14,8.94533e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",12475,56095.7,7460.72,ns,,8.94472e+08,,,,1,256,14,50176,14,1,256,14,50176,14,8.94472e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",12471,56116.3,7360.75,ns,,8.94143e+08,,,,1,1024,7,50176,7,1,1024,7,50176,7,8.94143e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",27414,25497.6,7318.56,ns,,9.83935e+08,,,,1,512,7,25088,7,1,512,7,25088,7,9.83935e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",27432,25504.8,7315.81,ns,,9.8366e+08,,,,1,512,7,25088,7,1,512,7,25088,7,9.8366e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3224,217082,7493.5,ns,,1.8491e+09,,,,2,64,56,401408,56,2,64,56,401408,56,1.8491e+09,401408,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3225,217074,7446.64,ns,,1.84917e+09,,,,2,256,28,401408,28,2,256,28,401408,28,1.84917e+09,401408,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6251,111976,7438.16,ns,,1.79239e+09,,,,2,128,28,200704,28,2,128,28,200704,28,1.79239e+09,200704,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",6251,111973,7378.3,ns,,1.79244e+09,,,,2,512,14,200704,14,2,512,14,200704,14,1.79244e+09,200704,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",11685,59887.2,7423.35,ns,,1.67568e+09,,,,2,256,14,100352,14,2,256,14,100352,14,1.67568e+09,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",11683,59882.4,7342.64,ns,,1.67582e+09,,,,2,256,14,100352,14,2,256,14,100352,14,1.67582e+09,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11684,59915.1,7414.3,ns,,1.6749e+09,,,,2,1024,7,100352,7,2,1024,7,100352,7,1.6749e+09,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",26109,26787.3,7394.28,ns,,1.87313e+09,,,,2,512,7,50176,7,2,512,7,50176,7,1.87313e+09,50176,0,0
