Run on (160 X 4023 MHz CPU s)
2018-08-08 17:04:38
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",674,1.03834e+06,1.04532e+06,ns,,9.27804e+09,,,,0,1,0,1.04048,0,5,5,2,192,28,301056,28,0,32,2,32,28,50176,28,2,2,4.63902e+11,4.8169e+08,4.63902e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",9577,73126.5,80079.4,ns,,2.63483e+11,,,,1,1,0,0.07488,0,1,1,2,192,28,301056,28,0,64,2,64,28,100352,28,0,0,5.26966e+11,3.85352e+07,5.26966e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",257,2.7215e+06,2.72865e+06,ns,,3.53989e+09,,,,0,1,0,2.72269,0,5,5,2,512,14,200704,14,0,48,2,48,14,18816,14,2,2,1.76994e+11,4.8169e+08,1.76994e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4601,152468,159016,ns,,2.52743e+11,,,,1,1,0,0.153984,0,1,1,2,512,14,200704,14,0,192,2,192,14,75264,14,0,0,5.05487e+11,7.70703e+07,5.05487e+11,7.70703e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",3112,224805,231768,ns,,9.28502e+10,,,,0,1,0,0.22704,0,1,1,2,832,7,81536,7,0,256,2,256,7,25088,7,0,0,1.857e+11,4.17464e+07,1.857e+11,4.17464e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",147,4.74643e+06,4.75372e+06,ns,,2.19883e+09,,,,0,1,0,4.74502,0,5,5,2,832,7,81536,7,0,128,2,128,7,12544,7,2,2,1.09942e+11,5.2183e+08,1.09942e+11,5.2183e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4540,154138,161098,ns,,8.33345e+10,,,,1,1,0,0.156,0,3,3,1,64,56,200704,56,0,64,1,64,56,200704,56,1,1,1.50002e+12,2.31211e+08,1.50002e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13709,51016.3,57978.8,ns,,1.00713e+12,,,,1,1,0,0.052928,0,1,1,1,64,56,200704,56,0,256,1,256,28,200704,28,0,0,5.03566e+11,2.56901e+07,5.03566e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2421,289061,296011,ns,,4.44371e+10,,,,0,1,0,0.291104,0,3,3,1,128,28,100352,28,0,128,1,128,28,100352,28,1,1,7.99868e+11,2.31211e+08,7.99868e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",10615,65863,72795,ns,,7.80107e+11,,,,1,1,0,0.067904,0,1,1,1,128,28,100352,28,0,512,1,512,14,100352,14,0,0,3.90054e+11,2.56901e+07,3.90054e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",7394,94720.6,101685,ns,,1.3561e+11,,,,1,1,0,0.096576,0,1,1,1,256,14,50176,14,0,256,1,256,14,50176,14,0,0,2.7122e+11,2.56901e+07,2.7122e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1308,535103,542091,ns,,2.40048e+10,,,,0,1,0,0.537664,0,3,3,1,256,14,50176,14,0,256,1,256,14,50176,14,1,1,4.32087e+11,2.31211e+08,4.32087e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7970,87771.8,94693.1,ns,,5.85384e+11,,,,1,1,0,0.089664,0,1,1,1,256,14,50176,14,0,1024,1,1024,7,50176,7,0,0,2.92692e+11,2.56901e+07,2.92692e+11,2.56901e+07,2,2,0,0
