Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",61667,11363,18275.1,ns,,2.26086e+12,,,,3,3,2,512,7,50176,7,512,2,512,7,50176,7,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",24777,28255.2,35042.9,ns,,3.40956e+11,,,,7,7,1,3,224,150528,224,64,1,64,112,802816,112,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",67188,10414.6,17180.6,ns,,4.62513e+11,,,,5,5,1,192,28,150528,28,32,1,32,28,25088,28,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",66804,10474.5,17286.7,ns,,9.19741e+11,,,,1,1,1,192,28,150528,28,64,1,64,28,50176,28,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",73923,9472.76,16273,ns,,5.085e+11,,,,5,5,1,512,14,100352,14,48,1,48,14,9408,14,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",71806,9736.97,16682.1,ns,,1.97881e+12,,,,1,1,1,512,14,100352,14,192,1,192,14,37632,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",72047,9717.31,16531,ns,,1.07402e+12,,,,1,1,1,832,7,40768,7,256,1,256,7,12544,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",74169,9394.52,16195.4,ns,,5.55463e+11,,,,5,5,1,832,7,40768,7,128,1,128,7,6272,7,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",14776,47395.1,54297.2,ns,,4.06531e+11,,,,7,7,2,3,224,301056,224,64,2,64,112,1.60563e+06,112,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",59048,11878.8,18678.5,ns,,8.11007e+11,,,,5,5,2,192,28,301056,28,32,2,32,28,50176,28,2,2,1,1
